job title,company name,Date,location,skills,links
Senior Computer Vision Engineer,Atomica -,21 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Mathematics · Software Development · Software Engineering · C++ · Git · Research · computer,/jobs/p/M7fjS8nyCB15-Senior-Computer-Vision-Engineer-Atomica-Cairo-Egypt?o=50&l=sp&t=sj&a=python|search-v3|hpb|spbl
Software Automation Testing Engineer,Confidential -,27 days ago,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation Testing · ISTQB · Testing · Information Technology (IT) · English · Quality Assurance,/jobs/p/pbOCpj7iHaVy-Software-Automation-Testing-Engineer-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|hpb|spbl
Linux System Administrator,Softxpert Incorporation  -,26 days ago,"Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science,/jobs/p/v3cWKWWgMOJJ-Linux-System-Administrator-Softxpert-Incorporation-Alexandria-Egypt?o=52&l=sp&t=sj&a=python|search-v3|hpb|spbl
Data Analytics Engineer,Dar Al Handasah -,26 days ago,"Smart Village, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · sql · PostgreSQL · Python · BI · Linux · Database · Thingsboard · IOT,/jobs/p/qrvyUBYzpj5p-Data-Analytics-Engineer-Dar-Al-Handasah-Giza-Egypt?o=53&l=sp&t=sj&a=python|search-v3|hpb|spbl
Backend Developer,Dar Al Handasah -,26 days ago,"Smart Village, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · .Net · SQL · JavaScript · VB.net · Power BI · Azure · Thingsboard,/jobs/p/5IvCXdR4CIlS-Backend-Developer-Dar-Al-Handasah-Giza-Egypt?o=54&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Machine learning Engineer,Botit -,26 days ago,"Abdeen, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Machine Learning · Python · NLP · Software · Research · Git · Algorithms · Statistics,/jobs/p/71X8xvySx9KF-Senior-Machine-learning-Engineer-Botit-Cairo-Egypt?o=55&l=sp&t=sj&a=python|search-v3|hpb|spbl
Embedded Linux Software Engineer,Centro CDX -,27 days ago,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Python · Linux · Information Technology (IT) · Agile · Git,/jobs/p/qIrpRSavBmlC-Embedded-Linux-Software-Engineer-Centro-CDX-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|hpb|spbl
Odoo Developer,Al Aliaa  -,27 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · JavaScript · Computer Science · Information Technology (IT) · PostgreSQL · HTML · Python · CSS,/jobs/p/X8gPaQ7Wv3bO-Odoo-Developer-Al-Aliaa-Giza-Egypt?o=57&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Software Engineer - Backend (Remotely),SSC Egypt -,27 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · coding · Computer Science · Java · JavaScript · Python · Software Development · Jenkins · MongoDB,/jobs/p/H3xVUuwBHx0r-Senior-Software-Engineer---Backend-Remotely-SSC-Egypt-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Odoo Developer - Cairo,etmana -,27 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · Odoo Development · Computer Engineering · Computer Science · Odoo Framework · Python · Linux · OpenERP,/jobs/p/Gmfaz116yg6c-Senior-Odoo-Developer---Cairo-etmana-Cairo-Egypt?o=59&l=sp&t=sj&a=python|search-v3|hpb|spbl
